source_URLs,Discipline,Type,Level,Skill
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,1,"Sense the Beast: The vampire can sense the beast within other vampires, mortals and supernatural creatures.​​"
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,2,"Atavism: The vampire can cause an animal to temporarily revert to their primal instincts, forcing them to attack anyone nearby or to flee the scene."
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,3,Unliving Hive: Amalgam Obfuscate 2. The vampire can become a permanent home for swarms of flies or cockroaches or similar small creatures.
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,4,Subsume the Spirit: The vampire can mentally take over an animal target.
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,5,Drawing Out the Beast: The vampire can cause a target to immediately frenzy.
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,6,Tier of Souls: Gain memories or powers from the blood you drink
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,7,"Beast Shard: Split up your Beast and instill shards in others, making them more prone to Frenzy and making them more susceptible to your Disciplines"
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,8,Unchain the Ferocious Beast: Cause a target's Beast to tear at them from within
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,9,Unchain the Beast: Cause a target's Beast to tear at them from within
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,10,Plot Device
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,1,"Shape of the Sanguine Sacrament: Allows the vampire manipulate their (or someone else's) blood, to form intricated images, such as a simple message or a geometrical shape."
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,2,"Extinguish Vitae: The user can intentionally remove the unlife-giving properties of some of the Blood in another vampire, stoking their Hunger as the victim’s inner reserves curdle into impotence"
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,3,"Scorpion’s Touch: The vampire can transmute some of their Blood into a paralyzing poison, capable of affecting mortals and vampires alike"
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,4,"Theft of Vitae: Through mystical means, the vampire opens a wound in a major artery of a mortal victim, blood shooting out through the air in a stream toward the open mouth of the user."
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,5,"Cauldron of Blood: This gruesome power lets the user boil the blood of a victim in their own veins, causing massive damage and excruciating pain"
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,1,Ward Against Ghouls
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,2,Warding Circle against Ghouls
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,3,Warding Circle against Spirits
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,4,Web of Hunger: Web of Hunger is an extension of the Extinguish Vitae ritual (see Vampire p. 273). Instead of controlling a single person’s vitae slowly and corrosively draining vitae from multiple targets.
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,5,Warding Circle against Cainites
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,1,Rapid Reflexes: The vampire suffers no penalty to dodging gunfire without cover.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,2,Fleetness: The vampire can add their Celerity to non-combat Dexterity checks.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,3,Traversal: The vampire can run up walls or across water with a successful check.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,4,Unerring Aim: Amalgam Auspex 2. The vampire can prevent their target from dodging or defending against the vampire's ranged attacks.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,5,"Split Second: The vampire can supercede the Storyteller's narration and perform an action that only requires a few seconds like get through a door before it closes, roll out of the way of an explosion etc."
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,6,"Momentum: Focus your Celerity into one instant, increasing your strength"
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,7,Stutter-Step: Use your Celerity to gain bonuses to defense
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,8,Zephyr: Move so fast that you seem to defy gravity
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,9,"Between the Ticks: Expend a blood and a Willpower, you gain an automatic success on all attacks delivered to an opponent with less than advanced Celerity. You have an extra action against those with advanced Celerity. All attacks delivered by those with less than advanced Celerity are considered to be automatic failures. You can declare fair escape at any time"
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,1,Compel: The vampire can issue a short sentence command to the target.
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,2,Domitor's Favor: Makes it more difficult for a vampire's Blood Bonded thrall to act against them.
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,3,Submerged Directive: The vampire can use Mesmerize to embed delayed or triggered commands.
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,4,Rationalize: The vampire can make victims of their Dominate powers internalize the commands and not realize they were compelled.
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,5,Terminal Decree: The vampire can now issue commands that are deadly or harmful to their targets.
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,6,Tranquility: Ease a vampire out of Frenzy
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,7,Tyrant's Gaze: Reduce the Attributes of a target with a look
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,8,Far Mastery: You can issue Dominate commands to someone you know anywhere in the world if you know their location
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,9,Speak Through the Blood: Guide the actions of your vampiric descendants over the years
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,10,Plot Device
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,1,Unswayable Mind: The vampire can add their Fortitude rating to dice rolls to resist manipulation and coercion.
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,2,"Valeren: Projects Fortitude outwardly, willing the vampire's Blood to mend another vampire's injuries. Amalgam: Auspex 1."
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,3,Fortify the Inner Facade: The vampire can use their Fortitude to resist the Auspex powers of Scry Soul and Telepathy.
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,4,"Shatter: The vampire becomes so tough, that they repel close combat blows, to the point where weapons break and bones shatter. Requirement: ​ Toughness."
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,5,Prowess of Pain: The vampire can ignore penalties to dice pools from injury.
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,6,Alabastard: Ignore damage penalties
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,7,Shared Strength: Grant your supernatural resilience to another
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,8,"Armored Flesh: Suffer no damage outside of combat, and block attacks with your bare hands."
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,9,Arm of Prometheus: Make one of your limbs completely indestructible for 10 minutes
https://whitewolf.fandom.com/wiki/Fortitude,Fortitude,skill,10,Plot Device
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,1,Silence of Death: The vampire can nullify all sound that they make.
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,2,"Chimerstry: The vampire can create brief, but vivid single-sensory hallucinations. Amalgam: Presence 1."
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,3,"Mental Maze[4]: The Vampire can make the victim unable to escape the building, leaving him feeling that the building folds back on itself. Amalgam: Dominate (VTM) 1."
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,4,Vanish: Requires Cloak of Shadows. The vampire can activate Cloak of Shadows or Unseen Passage even under direct observation.
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,5,Imposter's Guise: The vampire can disguise themselves as a specific person.
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,6,Soul Mask: Disguise your aura to appear differently or not at all
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,7,Visit Faerieland: Step into the Dream
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,8,Phantom Haunter: Take on the visage of a figure that haunts and terrifies the target
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,9,Obscure God's Creation: Remove a person or object from another's perceptions
https://whitewolf.fandom.com/wiki/Obfuscate_(VTM),Obfuscate,skill,10,Plot Device
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,skill,1,The Binding Fetter: The vampire can identify objects and locations important to ghosts by a faint aura.
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,skill,2,"Where the Shroud Thins: The vampire determines the density of the local Shroud, learning whether ghosts (and Kindred with the right Ceremony) may cross between worlds here, how difficult uses of Oblivion are, and whether mortals are at risk. They do not learn the cause of the Shroud's condition, simply what it is."
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,skill,3,"Passion Feast: The vampire has developed the startling ability to consume the raw emotions of wraiths to temporarily sate their hunger, eroding the ghost's reason for being with their foul gluttony. Amalgam with Fortitude 2."
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,skill,4,"Necrotic Plague: With a touch, the vampire may poison a mortal's blood using the pure pollutant of Oblivion. This horrific disease ravages their body and risks becoming contagious."
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,skill,5,"Withering Spirit: The vampire coats both of their hands in vitae, and touches a victim. Channeling raw entropy, they decay the spirit, causing severe damage and possibly preventing the victim's return as a wraith if they are obliterated."
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,ceremony,1,The Knowing Stone: This Ceremony lets the necromancer to identify the locations and existences of specific ghosts.[3]
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,ceremony,2,Compel Spirit: This Ceremony allows a vampire to bend a wraith to their will. Requires Where the Shroud Thins.
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,ceremony,3,"Name of the Father: This Ceremony enables a Shalimite vampire to shroud the mind of a victim in shadow, paralysing them and rendering them numb to all sensory input except touch. Requires Shadow Perspective."
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,ceremony,4,Split the Shroud: This Ceremony allows a vampire to create a tear in the Shroud through which wraiths can pass and vampires with the correct Ceremonies can physically enter the Shadowlands. Requires Necrotic Plague.
https://whitewolf.fandom.com/wiki/Oblivion_(Discipline),Oblivion,ceremony,5,"Pit of Contemplation: This Ceremony enables a Shalimite vampire to cast a victim into Oblivion itself. Mortals expire immediately, but Kindred are trapped in the endless void forever, unless somebody sees fit to reverse the Ceremony and retrieve them. Requires Tenebrous Avatar."
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,1,Soaring Leap: The Kindred can leap higher and further.
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,2,Prowess: The Kindred gains an overall increase in strength.
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,3,"Uncanny Grip: The Kindred is able to grip onto nearly any surface, and climb and hang unsupported from walls and ceilings."
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,4,Draught of Might: The Kindred's blood can serve as a strength potion to anyone who drinks of it; friend or foe alike.
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,5,Fist of Caine: The Kindred's bare hands are capable of causing devastating or lethal injuries to both mortals and other Kindred alike.
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,6,Crush: The Kindred with a successful attack against an object automatically destroys it.
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,7,Brutality: The Kindred is able to deal lethal damage with their unarmed strikes.
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,8,Touch of Pain: The Kindred puts the full force of their strength against one person or object.
https://whitewolf.fandom.com/wiki/Potence,Potence,skill,9,Might of the Heroes: The Kindred performs physical feats of mythic proportion.
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,1,Eyes of the Serpent:  Amalgam Protean 1.  The vampire can freeze a mortal in place with their gaze.
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,2,Lingering Kiss: The vampire can gain bonuses to their Social pools against targets that they have Kissed.
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,3,"True Love's Face: Combining Presence with Obfuscate, the vampire can take the appearance of someone their victim loves."
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,4,"Magnum Opus: Amalgam Auspex 3. When the vampire creates a work of art (ex: painting, sculpture), they can impart on to their work a portion of their Presence, making the audience succumb to it's hypnotic allure or fear it's dreadful visage."
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,5,"Star Magnetism: Awe, Daunt, and Entrancement can be used through live feeds and electronic streams."
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,6,Vengeance of the Martyr's Legacy: Compel all the vampire's descendants Frenzy
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,7,Vengeance of the Martyr's Legacy: Force all the vampire's descendants to Frenzy
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,8,Perfect Paragon: Appear as the ideal person to whomever sees you
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,9,Pulse of the City: Project an emotion into the residents of a city
https://whitewolf.fandom.com/wiki/Presence_(VTM),Presence,skill,10,Plot Device
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,1,"Weight of the Feather: The vampire can reduce their effective mass and density, making themselves almost weightless. This allows them to avoid triggering pressure sensors as well as avoiding major damage from falls, collisions, or being thrown. The power cannot be used for longer leaps, as the vampire’s strength is proportionally reduced."
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,2,"Vicissitude: The vampire reshapes one's own skin, muscles, and bone at will. Amalgam: Dominate 2."
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,3,Fleshcrafting: Reshape the physical form of others. Amalgam: Dominate 2. Requires  Vicissitude.
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,4,Horrid Form: The vampires takes on a truly monstrous form. Amalgam: Dominate 2. Requires  Vicissitude.
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,5,"The Heart of Darkness: this power enables a vampire to remove their own heart and store it outside their body. For as long as it is removed, the vampire is immune to staking attempts, unless a stake is driven through the removed heart. Amalgam: Fortitude 2"
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,6,"Smoke and Mirrors: When attacked, turn into mist instantly"
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,7,Turnabout: Quickly change positions by moving through the earth
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,8,Shape of the Inner Beast: Enter Frenzy and transform into a monstrous killing machine
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,9,Inward Focus: Drastically improve one's combat abilities
https://whitewolf.fandom.com/wiki/Protean_(VTM),Protean,skill,10,Plot Device
https://whitewolf.fandom.com/wiki/Thin-Blood_Alchemy,Thin_Blood_Alchemy,skill,1,Haze: Creates a field of mist
https://whitewolf.fandom.com/wiki/Thin-Blood_Alchemy,Thin_Blood_Alchemy,skill,2,Envelop: Blinds a target through mist
https://whitewolf.fandom.com/wiki/Thin-Blood_Alchemy,Thin_Blood_Alchemy,skill,3,"Chemically Induced Flashback: By melting down a deceased vampire's possessions, the alchemist can gain access to the vampire's memories through Ashe Prerequisite: Concoct Ashe[1]"
https://whitewolf.fandom.com/wiki/Thin-Blood_Alchemy,Thin_Blood_Alchemy,skill,4,"Discipline Channeling: Through Ashe, the thin-blood can gain access to one of the deceased vampire's disciplines, even though it is too high for the standard counterfeit disciplines Prerequisite: Concoct Ashe[1]"
https://whitewolf.fandom.com/wiki/Thin-Blood_Alchemy,Thin_Blood_Alchemy,skill,5,Awaken the Sleeper: User can awake other vampires from torpor